seq_id,tm
31390,1168.0717032746102
31391,1548.6768621005572
31392,577.9825587502216
31393,916.9137621182383
31394,1183.9132005449364
31395,1303.9302958792125
31396,1471.828236470286
31397,1389.0256036136243
31398,1813.7936436410894
31399,1558.0225128481031
31400,1360.3905182151416
31401,1394.9030757031524
31402,1213.83086540243
31403,575.0473619462664
31404,1521.096039177452
31405,1689.2274195904733
31406,1525.7926127137605
31407,1578.1282466959308
31408,1612.7755685520647
31409,1398.9923626061209
31410,1434.4256000547223
31411,1852.657105024671
31412,1389.2251639698848
31413,1118.7433603217976
31414,865.9120490198428
31415,2006.8902737619287
31416,1858.464992026512
31417,1485.1636761398802
31418,1485.9129141603125
31419,1622.5252914893601
31420,1331.8333970399572
31421,1303.4484835383653
31422,1508.1041872452324
31423,1283.449500698392
31424,1539.325569780104
31425,1845.8703014319558
31426,1631.6907724938478
31427,1468.8131706163394
31428,1241.7406806853073
31429,671.8749900328102
31430,894.5901580551016
31431,514.2263804950164
31432,523.7034254736352
31433,1629.362907331956
31434,1717.6234574971352
31435,1630.682466171774
31436,1413.7655361612844
31437,1641.0367676037615
31438,1387.6106197983001
31439,1253.7729443483233
31440,1588.866711118512
31441,1232.7871866212388
31442,1468.3641017629864
31443,1753.932201643342
31444,1267.7364787969145
31445,1427.0687067742483
31446,537.0708893857953
31447,1453.701773235041
31448,1921.4276802706606
31449,1799.0513080004812
31450,2060.0540112931953
31451,1386.4617231486086
31452,1407.3950838552946
31453,1931.9073325922188
31454,2077.658306028835
31455,1640.9731753782928
31456,1926.4903618493622
31457,1513.5847901654688
31458,1918.9995370973948
31459,1672.068845361758
31460,481.36179257062554
31461,1739.053582266442
31462,1477.6661750045787
31463,1754.0804570480348
31464,1499.0823048196812
31465,1912.7048758263318
31466,1827.6363448009422
31467,1580.110404478727
31468,868.8035048598596
31469,837.4980613306275
31470,487.24622689309734
31471,488.7413152042458
31472,597.2533274474771
31473,616.7859777261407
31474,379.66170261144066
31475,683.1232402247444
31476,596.3127302379904
31477,379.8651934105237
31478,752.9355501804968
31479,1394.7931823634674
31480,453.15240304825744
31481,720.5689914564226
31482,1354.7780839627235
31483,1268.3355440946832
31484,1400.8851467976383
31485,921.0565311705427
31486,1745.423409650783
31487,1248.8654590984308
31488,1192.9824059580399
31489,1735.6973176113675
31490,543.8163562301054
31491,483.2071230377811
31492,1468.9140192865823
31493,1630.9288118530976
31494,1236.6279634052241
31495,523.5766251733495
31496,1510.526832162717
31497,1293.7035638463044
31498,1743.4350168352075
31499,1013.9029484158937
31500,1651.3958435021614
31501,1297.1484066088726
31502,946.0762872281233
31503,1791.4514577472878
31504,988.8491111878315
31505,1523.2926513189914
31506,2016.0200632510564
31507,1431.0310066494778
31508,1389.7764488751409
31509,1853.6784650686238
31510,1395.7572237745633
31511,1987.7535593594607
31512,1899.0286763286483
31513,1773.101271050065
31514,1288.3884690767136
31515,1510.5356819057142
31516,400.806190716367
31517,1226.2032435066626
31518,1003.6605067575232
31519,886.7879603665233
31520,1184.8460789830035
31521,1286.8510055814186
31522,865.3607878278361
31523,1065.6669826993946
31524,1574.7269690489252
31525,1075.546096577723
31526,729.1108581018149
31527,891.5775527366269
31528,371.6061054999202
31529,636.2978807134126
31530,300.61046065376127
31531,210.6503346620695
31532,351.5961276975755
31533,565.341590498494
31534,431.72670489307046
31535,565.8129050898572
31536,457.6432346360582
31537,119.3720729708193
31538,404.1489523724846
31539,102.86734737638538
31540,131.10388395531652
